tc,call_volume,aht,service_level,art
2022-12-05 19:00:00.000,152,821.25,80,30
2022-12-05 19:15:00.000,125,279.25,80,30
2022-12-05 19:30:00.000,112,267.5,80,30
2022-12-05 19:45:00.000,105,235,80,30
2022-12-05 20:00:00.000,95,219,80,30
2022-12-05 20:15:00.000,83,221.75,80,30
2022-12-05 20:30:00.000,86,208.5,80,30
2022-12-05 20:45:00.000,79,235.5,80,30
2022-12-05 21:00:00.000,69,213,80,30
2022-12-05 21:15:00.000,57,232.75,80,30
2022-12-05 21:30:00.000,55,196.75,80,30
2022-12-05 21:45:00.000,51,214.75,80,30
2022-12-05 22:00:00.000,49,212.5,80,30
2022-12-05 22:15:00.000,35,221.25,80,30
2022-12-05 22:30:00.000,32,241.75,80,30
2022-12-05 22:45:00.000,29,210.75,80,30
2022-12-05 23:00:00.000,26,246,80,30
2022-12-05 23:15:00.000,21,246.5,80,30
2022-12-05 23:30:00.000,20,263.75,80,30
2022-12-05 23:45:00.000,15,225.5,80,30
2022-12-06 00:00:00.000,14,220.25,80,30
2022-12-06 00:15:00.000,11,217.75,80,30
2022-12-06 00:30:00.000,11,204.5,80,30
2022-12-06 00:45:00.000,12,192.75,80,30
2022-12-06 01:00:00.000,10,191.25,80,30
2022-12-06 01:15:00.000,12,174.25,80,30
2022-12-06 01:30:00.000,12,232.25,80,30
2022-12-06 01:45:00.000,14,232.75,80,30
2022-12-06 02:00:00.000,16,200.75,80,30
2022-12-06 02:15:00.000,23,190.25,80,30
2022-12-06 02:30:00.000,26,195.25,80,30
2022-12-06 02:45:00.000,27,192.25,80,30
2022-12-06 03:00:00.000,32,172,80,30
2022-12-06 03:15:00.000,35,178.75,80,30
2022-12-06 03:30:00.000,43,207.25,80,30
2022-12-06 03:45:00.000,42,224.75,80,30
2022-12-06 04:00:00.000,53,205.75,80,30
2022-12-06 04:15:00.000,56,211,80,30
2022-12-06 04:30:00.000,60,202,80,30
2022-12-06 04:45:00.000,62,213,80,30
2022-12-06 05:00:00.000,73,204,80,30
2022-12-06 05:15:00.000,89,209.75,80,30
2022-12-06 05:30:00.000,100,367.25,80,30
2022-12-06 05:45:00.000,106,210.5,80,30
2022-12-06 06:00:00.000,118,652,80,30
2022-12-06 06:15:00.000,126,214,80,30
2022-12-06 06:30:00.000,149,210.5,80,30
2022-12-06 06:45:00.000,150,396.5,80,30
2022-12-06 07:00:00.000,185,439.5,80,30
2022-12-06 07:15:00.000,195,348.5,80,30
2022-12-06 07:30:00.000,223,214.5,80,30
2022-12-06 07:45:00.000,243,736,80,30
2022-12-06 08:00:00.000,277,399.5,80,30
2022-12-06 08:15:00.000,307,368.75,80,30
2022-12-06 08:30:00.000,353,342.75,80,30
2022-12-06 08:45:00.000,397,524.25,80,30
2022-12-06 09:00:00.000,457,395.25,80,30
2022-12-06 09:15:00.000,516,525,80,30
2022-12-06 09:30:00.000,603,463,80,30
2022-12-06 09:45:00.000,631,477.75,80,30
2022-12-06 10:00:00.000,652,516.5,80,30
2022-12-06 10:15:00.000,671,487.75,80,30
2022-12-06 10:30:00.000,678,448.25,80,30
2022-12-06 10:45:00.000,665,430.25,80,30
2022-12-06 11:00:00.000,656,436,80,30
2022-12-06 11:15:00.000,662,502.25,80,30
2022-12-06 11:30:00.000,653,459,80,30
2022-12-06 11:45:00.000,626,391.25,80,30
2022-12-06 12:00:00.000,617,602.25,80,30
2022-12-06 12:15:00.000,606,485.75,80,30
2022-12-06 12:30:00.000,604,574,80,30
2022-12-06 12:45:00.000,595,395.25,80,30
2022-12-06 13:00:00.000,581,368,80,30
2022-12-06 13:15:00.000,575,440.5,80,30
2022-12-06 13:30:00.000,577,403.75,80,30
2022-12-06 13:45:00.000,570,387.5,80,30
2022-12-06 14:00:00.000,581,420.25,80,30
2022-12-06 14:15:00.000,571,470.75,80,30
2022-12-06 14:30:00.000,553,402.25,80,30
2022-12-06 14:45:00.000,549,490,80,30
2022-12-06 15:00:00.000,529,433.5,80,30
2022-12-06 15:15:00.000,521,468.25,80,30
2022-12-06 15:30:00.000,510,443.5,80,30
2022-12-06 15:45:00.000,493,417.75,80,30
2022-12-06 16:00:00.000,460,421,80,30
2022-12-06 16:15:00.000,441,397.5,80,30
2022-12-06 16:30:00.000,435,439.5,80,30
2022-12-06 16:45:00.000,390,495.5,80,30
2022-12-06 17:00:00.000,369,363.5,80,30
2022-12-06 17:15:00.000,328,366.5,80,30
2022-12-06 17:30:00.000,298,437.25,80,30
2022-12-06 17:45:00.000,270,347.75,80,30
2022-12-06 18:00:00.000,230,412.25,80,30
2022-12-06 18:15:00.000,188,337.5,80,30
2022-12-06 18:30:00.000,173,240.5,80,30
2022-12-06 18:45:00.000,147,505.5,80,30
2022-12-06 19:00:00.000,135,245.75,80,30
2022-12-06 19:15:00.000,117,208.25,80,30
2022-12-06 19:30:00.000,104,217,80,30
2022-12-06 19:45:00.000,94,206.5,80,30
2022-12-06 20:00:00.000,91,202.25,80,30
2022-12-06 20:15:00.000,75,193.75,80,30
2022-12-06 20:30:00.000,71,207.75,80,30
2022-12-06 20:45:00.000,66,285.5,80,30
2022-12-06 21:00:00.000,62,200.5,80,30
2022-12-06 21:15:00.000,52,209,80,30
2022-12-06 21:30:00.000,43,219.25,80,30
2022-12-06 21:45:00.000,44,202.25,80,30
